movie_id,averagerating,numvotes,primary_title,original_title,runtime_minutes,genres,title,studio,domestic_gross,year
tt1043726,4.2,50352,The Legend of Hercules,The Legend of Hercules,99.0,"Action,Adventure,Fantasy",The Legend of Hercules,LG/S,18800000.0,2014
tt1171222,5.1,8296,Baggage Claim,Baggage Claim,96.0,Comedy,Baggage Claim,FoxS,21600000.0,2013
tt1181840,7.0,5494,Jack and the Cuckoo-Clock Heart,Jack et la mécanique du coeur,94.0,"Adventure,Animation,Drama",Jack and the Cuckoo-Clock Heart,Shout!,1400000.0,2014
tt1210166,7.6,326657,Moneyball,Moneyball,133.0,"Biography,Drama,Sport",Moneyball,Sony,75600000.0,2011
tt1212419,6.5,87288,Hereafter,Hereafter,129.0,"Drama,Fantasy,Romance",Hereafter,WB,32700000.0,2010
tt1229238,7.4,428142,Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,132.0,"Action,Adventure,Thriller",Mission: Impossible - Ghost Protocol,Par.,209400000.0,2011
tt1232829,7.2,477771,21 Jump Street,21 Jump Street,109.0,"Action,Comedy,Crime",21 Jump Street,Sony,138400000.0,2012
tt1243974,5.4,54646,Aloha,Aloha,105.0,"Comedy,Drama,Romance",Aloha,Sony,21100000.0,2015
tt1261945,4.4,69199,Sex and the City 2,Sex and the City 2,146.0,"Comedy,Drama,Romance",Sex and the City 2,WB (NL),95300000.0,2010
tt1270761,5.6,44490,Don't Be Afraid of the Dark,Don't Be Afraid of the Dark,99.0,"Fantasy,Horror,Thriller",Don't Be Afraid of the Dark,FD,24000000.0,2011
tt1320239,6.2,18431,Burke and Hare,Burke and Hare,91.0,"Comedy,Crime,History",Burke and Hare,IFC,4800.0,2011
tt1322312,6.3,54421,Going the Distance,Going the Distance,102.0,"Comedy,Romance",Going the Distance,WB (NL),17800000.0,2010
tt1403981,7.1,129443,Remember Me,Remember Me,113.0,"Drama,Romance",Remember Me,Sum.,19100000.0,2010
tt1499658,6.9,398695,Horrible Bosses,Horrible Bosses,98.0,"Comedy,Crime",Horrible Bosses,WB (NL),117500000.0,2011
tt1535109,7.8,387402,Captain Phillips,Captain Phillips,134.0,"Biography,Drama,Thriller",Captain Phillips,Sony,107100000.0,2013
tt1549572,7.0,85839,Another Earth,Another Earth,92.0,"Drama,Romance,Sci-Fi",Another Earth,FoxS,1300000.0,2011
tt1584131,3.7,1071,The Last Godfather,The Last Godfather,100.0,"Comedy,Crime,Romance",The Last Godfather,RAtt.,164000.0,2011
tt1608290,4.7,59914,Zoolander 2,Zoolander 2,101.0,Comedy,Zoolander 2,Par.,28800000.0,2016
tt1629757,7.2,28994,Chasing Mavericks,Chasing Mavericks,116.0,"Biography,Drama,Sport",Chasing Mavericks,Fox,6000000.0,2012
tt1640484,5.7,9089,Jumping the Broom,Jumping the Broom,112.0,"Comedy,Drama",Jumping the Broom,TriS,37300000.0,2011
tt1655416,6.2,4670,Mental,Mental,116.0,"Comedy,Drama",Mental,Da.,17700.0,2013
tt1655420,7.0,79337,My Week with Marilyn,My Week with Marilyn,99.0,"Biography,Drama",My Week with Marilyn,Wein.,14600000.0,2011
tt1659343,5.1,18206,Universal Soldier: Day of Reckoning,Universal Soldier: Day of Reckoning,114.0,"Action,Horror,Mystery",Universal Soldier: Day of Reckoning,Magn.,5500.0,2012
tt1661420,7.3,12506,Polisse,Polisse,127.0,"Crime,Drama",Polisse,IFC,211000.0,2012
tt1663202,8.0,621193,The Revenant,The Revenant,156.0,"Action,Adventure,Biography",The Revenant,Fox,183600000.0,2015
tt1680045,6.2,15096,360,360,110.0,"Drama,Thriller",360,Magn.,100000.0,2012
tt1703958,5.8,5997,Ek Main Aur Ekk Tu,Ek Main Aur Ekk Tu,110.0,"Comedy,Drama,Romance",Ek Main Aur Ekk Tu,UTV,1200000.0,2012
tt1714206,7.1,133887,The Spectacular Now,The Spectacular Now,95.0,"Comedy,Drama,Romance",The Spectacular Now,A24,6900000.0,2013
tt1728196,7.4,6636,Hara-Kiri: Death of a Samurai,Ichimei,128.0,Drama,Hara-Kiri: Death of a Samurai,Trib.,75700.0,2012
tt1728986,5.5,7359,Bol Bachchan,Bol Bachchan,155.0,"Action,Comedy,Drama",Bol Bachchan,FIP,1200000.0,2012
tt1758741,6.4,13,People Like Us,People Like Us,55.0,Drama,People Like Us,BV,12400000.0,2012
tt0800054,7.8,68,The Guardians,The Guardians,88.0,"Comedy,Family",The Guardians,MBox,177000.0,2018
tt0985694,6.6,182320,Machete,Machete,105.0,"Action,Crime,Thriller",Machete,Fox,26600000.0,2010
tt10075374,8.3,6,The Little Prince,The Little Prince,93.0,Action,The Little Prince,EOne,1300000.0,2016
tt6769280,5.7,3455,Time Freak,Time Freak,104.0,"Comedy,Drama,Romance",Time Freak,Grindstone,10000.0,2018
tt6925204,5.4,14,Genius,Genius,91.0,Drama,Genius,RAtt.,1400000.0,2016
tt7027278,6.0,4189,Kedarnath,Kedarnath,116.0,"Drama,Romance",Kedarnath,PackYourBag,901000.0,2018
tt7342204,7.4,1105,I Can Speak,Ai kaen seupikeu,119.0,"Comedy,Drama",I Can Speak,CJ,63200.0,2017
tt7433980,6.8,110,Last Night,Last Night,104.0,Drama,Last Night,Trib.,99000.0,2011
